Location,Site,SiteCode,GenusSpecies,CoverPerc,Family,Genus,Species
Navy Wells 39,Center,31.1.1,saba.pal,70,,,
Navy Wells 39,Center,31.1.1,pter.aqu,25,,,
Navy Wells 39,Center,31.1.1,rhyn.ren,1,,,
Navy Wells 39,Center,31.1.1,rhus.cop,1,,,
Navy Wells 39,Center,31.1.1,gali.sp,1,,,
Navy Wells 39,Center,31.1.1,cast.fil,11,,,
Navy Wells 39,Center,31.1.1,anem.ade,1,,,
Navy Wells 39,Center,31.1.1,sehi.gra,5,,,
Navy Wells 39,Center,31.1.1,andr.sp,1,,,
Navy Wells 39,Center,31.1.1,side.sal,1,,,
Navy Wells 39,Center,31.1.1,unknown.fabaceousvine,1,,,
Navy Wells 39,Center,31.1.1,acal.cha,1,,,
Navy Wells 39,Center,31.1.1,nett.sti,1,,,
Navy Wells 39,Center,31.1.1,lant.sp,1,,,
Navy Wells 39,Center,31.1.10,trag.sax,,,,
Navy Wells 39,Center,31.1.10,byrs.luc,,,,
Navy Wells 39,Center,31.1.10,butt.sea,,,,
Navy Wells 39,Center,31.1.10,unknown.fabaceous,,,,
Navy Wells 39,Center,31.1.10,cyna.vio,,,,
Navy Wells 39,Center,31.1.10,phyl.pen,,,,
Navy Wells 39,Center,31.1.10,sorg.scc,,,,
Navy Wells 39,Center,31.1.10,piri.car,,,,
Navy Wells 39,Center,31.1.10,unknown.(.rub),,,,
Navy Wells 39,Center,31.1.10,echi.umb,,,,
Navy Wells 39,Center,31.1.10,pass.sub,,,,
Navy Wells 39,Center,31.1.10,pity.gra,,,,
Navy Wells 39,Center,31.1.10,schi.sp,,,,
Navy Wells 39,Center,31.1.10,cham.sp,,,,
Navy Wells 39,Center,31.1.10,crot.lin,,,,
Navy Wells 39,Center,31.1.10,mela.niv,,,,
Navy Wells 39,Center,31.1.10,symp.adn,,,,
Navy Wells 39,Center,31.1.10,rhyn.sp,,,,
Navy Wells 39,Center,31.1.10,schi.rhi,,,,
Navy Wells 39,Center,31.1.10,meto.tox,,,,
Navy Wells 39,Center,31.1.10,pasp.sp,,,,
Navy Wells 39,Center,31.1.10,pasp.sp,,,,
Navy Wells 39,Center,31.1.10,sere.rep,,,,
Navy Wells 39,Center,31.1.10,evol.scr,,,,
Navy Wells 39,Center,31.1.10,fors.seg,,,,
Navy Wells 39,Center,31.1.10,eusc.pet,,,,
Navy Wells 39,Center,31.1.10,phys.wal,,,,
Navy Wells 39,Center,31.4.1,,,,,
Navy Wells 39,Center,31.4.1,schi.sp,25,,,
Navy Wells 39,Center,31.4.1,sorg.sec,20,,,
Navy Wells 39,Center,31.4.1,cass.fil,1,,,
Navy Wells 39,Center,31.4.1,acal.cha,1,,,
Navy Wells 39,Center,31.4.1,ayen.eup,1,,,
Navy Wells 39,Center,31.4.1,meta.blo,1,,,
Navy Wells 39,Center,31.4.1,pity.gra,1,,,
Navy Wells 39,Center,31.4.1,symp.adn,1,,,
Navy Wells 39,Center,31.4.1,crot.lin,1,,,
Navy Wells 39,Center,31.4.1,pter.aqu,1,,,
Navy Wells 39,Center,31.4.1,mela.niv,1,,,
Navy Wells 39,Center,31.4.1,buch.amer,1,,,
Navy Wells 39,Center,31.4.10,zami.int,,,,
Navy Wells 39,Center,31.4.10,toxi.rad,,,,
Navy Wells 39,Center,31.4.10,phyl.pen,,,,
Navy Wells 39,Center,31.4.10,saba.pal,,,,
Navy Wells 39,Center,31.4.10,unknownlegume,,,,
Navy Wells 39,Center,31.4.10,unknownasterace?,,,,
Navy Wells 39,Center,31.4.10,symp.adn,,,,
Navy Wells 39,Center,31.4.10,crot.pum,,,,
Navy Wells 39,Center,31.4.10,piri.car,,,,
Navy Wells 39,Center,31.4.10,rhus.cop,,,,
Navy Wells 39,Center,31.4.10,cham.vpe,,,,
Navy Wells 39,Center,31.4.10,schi.gra,,,,
Navy Wells 39,Center,31.4.10,unknownfibaceous,,,,
Navy Wells 39,Center,31.4.10,koan.vil,,,,
Navy Wells 39,Center,31.4.10,lant.dep,,,,
Navy Wells 39,Center,100m2,coco.arg,,,,
Navy Wells 39,Center,100m2,guet.sca,,,,
Navy Wells 39,Center,100m2,echi.umb,,,,
Navy Wells 39,Center,100m2,mori.roy,,,,
Navy Wells 39,Center,100m2,smil.aur,,,,
Navy Wells 39,Center,100m2,unknowninvolvulac.?,,,,
Navy Wells 39,Center,100m2,pinu.ell,,,,
Navy Wells 39,Center,100m2,koan.vil,,,,
Navy Wells 39,Center,100m2,ange.ver,,,,
Navy Wells 39,Center,100m2,rand.acu,,,,
Navy Wells 39,Center,100m2,circ.hor,,,,
Navy Wells 39,Center,100m2,guet.sp(.ell?),,,,
Navy Wells 39,Center,32.2.1,,,,,
