Site,Plot,Subplot,GenusSpecies,CoverPerc,Family,Genus,Species
Navy Wells,Lawn,31.1.1,spor.pyr,25,,,
Navy Wells,Lawn,31.1.1,sten.sec,20,,,
Navy Wells,Lawn,31.1.1,pasp.not,5,,,
Navy Wells,Lawn,31.1.1,sper.ver,1,,,
Navy Wells,Lawn,31.1.1,phyl.nod,1,,,
Navy Wells,Lawn,31.1.1,cyno.dac,5,,,
Navy Wells,Lawn,31.1.1,styl.ham,1,,,
Navy Wells,Lawn,31.1.1,alys.vag,1,,,
Navy Wells,Lawn,31.1.1,sida.ulm,1,,,
Navy Wells,Lawn,31.1.1,digi.cil,25,,,
Navy Wells,Lawn,31.1.1,caly.via,1,,,
Navy Wells,Lawn,31.1.10,cham.men,,,,
Navy Wells,Lawn,31.1.10,indi.spi,,,,
Navy Wells,Lawn,31.1.10,ruel.cil,,,,
Navy Wells,Lawn,31.1.10,medi.lup,,,,
Navy Wells,Lawn,31.4.1,spor.pyr,25,,,
Navy Wells,Lawn,31.4.1,styl.ham,35,,,
Navy Wells,Lawn,31.4.1,rhus.cop,1,,,
Navy Wells,Lawn,31.4.1,sida.ulm,1,,,
Navy Wells,Lawn,31.4.1,pasp.set,1,,,
Navy Wells,Lawn,31.4.1,stac.jam,5,,,
Navy Wells,Lawn,31.4.1,acal.cha,1,,,
Navy Wells,Lawn,31.4.1,rhyn.min,1,,,
Navy Wells,Lawn,31.4.1,digi.cil,1,,,
Navy Wells,Lawn,31.4.10,walt.ind,,,,
Navy Wells,Lawn,31.4.10,alys.vag,,,,
Navy Wells,Lawn,31.4.10,pasp.cae,,,,
Navy Wells,Lawn,31.4.10,rhyn.min,,,,
Navy Wells,Lawn,31.4.10,sper.ver,,,,
Navy Wells,Lawn,31_100,asem.vio,,,,
Navy Wells,Lawn,31_100,seta.par,,,,
Navy Wells,Lawn,31_100,mori.roy,,,,
Navy Wells,Lawn,31_100,desm.vir,,,,
Navy Wells,Lawn,31_100,desm.inc,,,,
Navy Wells,Lawn,31_100,cham.opt,,,,
Navy Wells,Lawn,31_100,cham.dee,,,,
Navy Wells,Lawn,31_100,part.hys,,,,
Navy Wells,Lawn,31_100,both.per,,,,
Navy Wells,Lawn,32.2.1,sper.ver,5,,,
Navy Wells,Lawn,32.2.1,sida.ulm,5,,,
Navy Wells,Lawn,32.2.1,spor.pyr,20,,,
Navy Wells,Lawn,32.2.1,pasp.not,15,,,
Navy Wells,Lawn,32.2.1,sten.sec,10,,,
Navy Wells,Lawn,32.2.1,indi.spi,5,,,
Navy Wells,Lawn,32.2.1,digi.sp.,20,,,
Navy Wells,Lawn,32.2.1,both.per,5,,,
Navy Wells,Lawn,32.2.10,caly.via,,,,
Navy Wells,Lawn,32.2.10,desm.inc,,,,
Navy Wells,Lawn,32.2.10,phyl.nod,,,,
Navy Wells,Lawn,32.2.10,cham.pro,,,,
Navy Wells,Lawn,32.2.10,ruel.cil,,,,
Navy Wells,Lawn,32.2.10,alys.vag,,,,
Navy Wells,Lawn,32.2.10,styl.ham,,,,
Navy Wells,Lawn,32.2.10,desm.tri,,,,
Navy Wells,Lawn,32.2.10,medi.lup,,,,
Navy Wells,Lawn,32.4.1,spor.pyr,10,,,
Navy Wells,Lawn,32.4.1,erem.oph,5,,,
Navy Wells,Lawn,32.4.1,pasp.cae,1,,,
Navy Wells,Lawn,32.4.1,pasp.sp.,1,,,
Navy Wells,Lawn,32.4.1,digi.sp.,10,,,
Navy Wells,Lawn,32.4.1,dich/both,1,,,
Navy Wells,Lawn,32.4.1,erag.ell,1,,,
Navy Wells,Lawn,32.4.1,asem.vio,1,,,
Navy Wells,Lawn,32.4.1,alys.vag,1,,,
Navy Wells,Lawn,32.4.1,styl.ham,1,,,
Navy Wells,Lawn,32.4.1,cent.vir,1,,,
Navy Wells,Lawn,32.4.10,seta.par,,,,
Navy Wells,Lawn,32.4.10,rhus.cop,,,,
Navy Wells,Lawn,32.4.10,rhyn.min,,,,
Navy Wells,Lawn,32.4.10,sida.ulm,,,,
Navy Wells,Lawn,32.4.10,cnid.sti,,,,
Navy Wells,Lawn,32.4.10,rich.gra,,,,
Navy Wells,Lawn,32.4.10,desm.tri,,,,
Navy Wells,Lawn,32_100,pasp.blo,,,,
Navy Wells,Lawn,32_100,stac.jam,,,,
Navy Wells,Lawn,32_100,cham.hir,,,,
Navy Wells,Lawn,32_100,part.hys,,,,
Navy Wells,Lawn,32_100,port.ole,,,,
Navy Wells,Lawn,32_100,amar.pal,,,,
Navy Wells,Lawn,32_100,acal.set,,,,
Navy Wells,Lawn,32_100,amar.spi,,,,
Navy Wells,Lawn,32_100,desm.inc,,,,
Navy Wells,Lawn,32_100,eleu.ind,,,,
Navy Wells,Lawn,40.1.1,erem.oph,30,,,
Navy Wells,Lawn,40.1.1,digi.cil,10,,,
Navy Wells,Lawn,40.1.1,spor.pyr,5,,,
Navy Wells,Lawn,40.1.1,styl.ham,5,,,
Navy Wells,Lawn,40.1.1,alys.vag,1,,,
Navy Wells,Lawn,40.1.1,rhyn.min,1,,,
Navy Wells,Lawn,40.1.1,cent.vir,1,,,
Navy Wells,Lawn,40.1.1,unkn.dichot,1,,,
Navy Wells,Lawn,40.1.10,desm.vir,,,,
Navy Wells,Lawn,40.1.10,rhus.cop,,,,
Navy Wells,Lawn,40.1.10,schi.ter,,,,
Navy Wells,Lawn,40.1.10,walt.ind,,,,
Navy Wells,Lawn,40.1.10,asem.vio,,,,
Navy Wells,Lawn,40.1.10,macr.lat,,,,
Navy Wells,Lawn,40.1.10,part.hys,,,,
Navy Wells,Lawn,40.1.10,erag.ell,,,,
Navy Wells,Lawn,40.1.10,cham.hir,,,,
Navy Wells,Lawn,40.1.10,acal.cha,,,,
Navy Wells,Lawn,40.1.10,schi.san,,,,
Navy Wells,Lawn,40.1.10,mori.roy,,,,
Navy Wells,Lawn,40.1.10,phys.wal,,,,
Navy Wells,Lawn,40.1.10,desm.tri,,,,
Navy Wells,Lawn,40.1.10,saba.pal,,,,
Navy Wells,Lawn,40.3.1,pter.aqu,20,,,
Navy Wells,Lawn,40.3.1,rhus.cop,10,,,
Navy Wells,Lawn,40.3.1,mori.roy,1,,,
Navy Wells,Lawn,40.3.1,rhyn.min,1,,,
Navy Wells,Lawn,40.3.1,schi.san,1,,,
Navy Wells,Lawn,40.3.1,walt.ind,1,,,
Navy Wells,Lawn,40.3.10,smil.aur,,,,
Navy Wells,Lawn,40.3.10,sere.rep,,,,
Navy Wells,Lawn,40.3.10,soli.odo,,,,
Navy Wells,Lawn,40.3.10,zami.int,,,,
Navy Wells,Lawn,40.3.10,part.qui,,,,
Navy Wells,Lawn,40.3.10,cham.opt,,,,
Navy Wells,Lawn,40.3.10,anem.adi,,,,
Navy Wells,Lawn,40.3.10,koan.vil,,,,
Navy Wells,Lawn,40.3.10,schi.ter,,,,
Navy Wells,Lawn,40.3.10,schi.gra,,,,
Navy Wells,Lawn,40.3.10,fore.seg,,,,
Navy Wells,Lawn,40.3.10,ardi.esc,,,,
Navy Wells,Lawn,40.3.10,echi.umb,,,,
Navy Wells,Lawn,40.3.10,gali.ber,,,,
Navy Wells,Lawn,40.3.10,walt.nd,,,,
Navy Wells,Lawn,40.3.10,cham.men,,,,
Navy Wells,Lawn,40_100,pity.gra,,,,
Navy Wells,Lawn,40_100,chal.pin,,,,
Navy Wells,Lawn,40_100,smil.hav,,,,
Navy Wells,Lawn,40_100,piri.cis,,,,
Navy Wells,Lawn,40_100,toxi.rad,,,,
Navy Wells,Lawn,40_100,ayen.eup,,,,
Navy Wells,Lawn,40_100,phyl.pen,,,,
Navy Wells,Lawn,40_100,acal.cha,,,,
Navy Wells,Lawn,40_100,asem.vio,,,,
Navy Wells,Lawn,40_100,meto.tox,,,,
Navy Wells,Lawn,40_100,cocc.arg,,,,
Navy Wells,Lawn,40_100,guet.sca,,,,
Navy Wells,Lawn,40_100,side.sal,,,,
Navy Wells,Lawn,40_100,pass.sub,,,,
Navy Wells,Lawn,40_100,vern.blo,,,,
Navy Wells,Lawn,40_100,cros.ili,,,,
Navy Wells,Lawn,40_100,symp.adn,,,,
Navy Wells,Lawn,40_100,bacc.gloo,,,,
Navy Wells,Lawn,40_100,momo.cha,,,,
Navy Wells,Lawn,41.1.1,rhus.cop,1,,,
Navy Wells,Lawn,41.1.1,pasp.blo,10,,,
Navy Wells,Lawn,41.1.1,spor.pyr,5,,,
Navy Wells,Lawn,41.1.1,styl.ham,1,,,
Navy Wells,Lawn,41.1.1,asem.vio,1,,,
Navy Wells,Lawn,41.1.1,alys.vag,1,,,
Navy Wells,Lawn,41.1.1,acal.cha,1,,,
Navy Wells,Lawn,41.1.1,ayen.eup,5,,,
Navy Wells,Lawn,41.1.1,phys.wal,1,,,
Navy Wells,Lawn,41.1.1,echi.umb,1,,,
Navy Wells,Lawn,41.1.10,both.per,20,,,
Navy Wells,Lawn,41.1.10,pter.aqu,,,,
Navy Wells,Lawn,41.1.10,cnid.sti,,,,
Navy Wells,Lawn,41.1.10,zami.int,,,,
Navy Wells,Lawn,41.1.10,pass.sub,,,,
Navy Wells,Lawn,41.1.10,rhyn.min,,,,
Navy Wells,Lawn,41.1.10,sper.ver,,,,
Navy Wells,Lawn,41.1.10,desm.sp.,,,,
Navy Wells,Lawn,41.1.10,cent.vir,,,,
Navy Wells,Lawn,41.1.10,schi.san,,,,
Navy Wells,Lawn,41.1.10,walt.ind,,,,
Navy Wells,Lawn,41.1.10,fore.seg,,,,
Navy Wells,Lawn,41.1.10,anem.adi,,,,
Navy Wells,Lawn,41.1.10,guet.sca,,,,
Navy Wells,Lawn,41.1.10,smil.aur,,,,
Navy Wells,Lawn,41.1.10,sere.rep,,,,
Navy Wells,Lawn,41.1.10,macr.lat,,,,
Navy Wells,Lawn,41.4.1,rhus.cop,10,,,
Navy Wells,Lawn,41.4.1,piri.cis,1,,,
Navy Wells,Lawn,41.4.1,phyl.pen,1,,,
Navy Wells,Lawn,41.4.1,fore.seg,5,,,
Navy Wells,Lawn,41.4.1,echi.umb,1,,,
Navy Wells,Lawn,41.4.1,schi.gra,1,,,
Navy Wells,Lawn,41.4.1,guet.ell,1,,,
Navy Wells,Lawn,41.4.1,schi.san,1,,,
Navy Wells,Lawn,41.4.1,anem.adi,1,,,
Navy Wells,Lawn,41.4.1,cent.vir,1,,,
Navy Wells,Lawn,41.4.1,acal.cha,1,,,
Navy Wells,Lawn,41.4.1,andr.sp.,1,,,
Navy Wells,Lawn,41.4.10,sorg.sec,,,,
Navy Wells,Lawn,41.4.10,cham.dee,,,,
Navy Wells,Lawn,41.4.10,smil.hav,,,,
Navy Wells,Lawn,41.4.10,soli.odo,,,,
Navy Wells,Lawn,41.4.10,phyl.pen,,,,
Navy Wells,Lawn,41.4.10,dysc.ang,,,,
Navy Wells,Lawn,41.4.10,phys.wal,,,,
Navy Wells,Lawn,41.4.10,toxi.rad,,,,
Navy Wells,Lawn,41.4.10,pity.gra,,,,
Navy Wells,Lawn,41.4.10,symp.adn,,,,
Navy Wells,Lawn,41.4.10,part.qui,,,,
Navy Wells,Lawn,41.4.10,chio.pin,,,,
Navy Wells,Lawn,41.4.10,mori.roy,,,,
Navy Wells,Lawn,41.4.10,anga.ber,,,,
Navy Wells,Lawn,41.4.10,rhyn.min,,,,
Navy Wells,Lawn,41.4.10,cham.hyp,,,,
Navy Wells,Lawn,41.4.10,rand.acu,,,,
Navy Wells,Lawn,41.4.10,meto.tox,,,,
Navy Wells,Lawn,41.4.10,cocc.arg,,,,
Navy Wells,Lawn,41_100,side.sal,,,,
Navy Wells,Lawn,41_100,cham.dee,,,,
Navy Wells,Lawn,41_100,asem.vio,,,,
Navy Wells,Lawn,41_100,guet.sca,,,,
Navy Wells,Lawn,41_100,anga.ber,,,,
Navy Wells,Lawn,41_100,echi.umb,,,,
Navy Wells,Lawn,41_100,rhus.cop,,,,
Navy Wells,Lawn,41_100,meto.tox,,,,
Navy Wells,Lawn,41_100,pity.gra,,,,
Navy Wells,Lawn,41_100,oeno.sim,,,,
Navy Wells,Lawn,41_100,smil.hav,,,,
Navy Wells,Lawn,41_100,mori.roy,,,,
Navy Wells,Lawn,41_100,piri.cis,,,,
Navy Wells,Lawn,41_100,schi.gra,,,,
Navy Wells,Lawn,41_100,schi.san,,,,
Navy Wells,Lawn,41_100,fore.seg,,,,
Navy Wells,Lawn,41_100,mico.bic,,,,
Navy Wells,Lawn,41_100,part.qui,,,,
Navy Wells,Lawn,41_100,viti.rot,,,,
Navy Wells,Lawn,41_100,saba.pal,,,,
Navy Wells,Lawn,41_100,smil.aur,,,,
Navy Wells,Lawn,41_100,phys.wal,,,,
Navy Wells,Lawn,41_100,phyl.pen,,,,
Navy Wells,Lawn,41_100,cocc.arg,,,,
Navy Wells,Lawn,41_100,sere.rep,,,,
Navy Wells,Lawn,41_100,anem.adi,,,,
Navy Wells,Lawn,41_100,zami.int,,,,
Navy Wells,Lawn,41_100,pect.gla,,,,
Navy Wells,Lawn,41_100,koan.vil,,,,
Navy Wells,Lawn,41_100,gali.ber,,,,
Navy Wells,Lawn,41_100,albi.leb,,,,
Navy Wells,Edge,31.1.1,andr.sp.,1,,,
Navy Wells,Edge,31.1.1,schi.san,5,,,
Navy Wells,Edge,31.1.1,koan.vil,1,,,
Navy Wells,Edge,31.1.1,rhus.cop,5,,,
Navy Wells,Edge,31.1.1,toxi.rad,5,,,
Navy Wells,Edge,31.1.1,guet.sca,1,,,
Navy Wells,Edge,31.1.1,anem.adi,5,,,
Navy Wells,Edge,31.1.1,byrs.luc,1,,,
Navy Wells,Edge,31.1.1,phyl.pen,1,,,
Navy Wells,Edge,31.1.1,cent.vir,1,,,
Navy Wells,Edge,31.1.1,rhyn.min,1,,,
